TIPO,NOME,DESCRIÇÃO,VALOR,IMAGEM,CODIGO PDV,DISPONIBILIDADE DO ITEM,TIPO COMPLEMENTO,QTDE MINIMA,QTDE MAXIMA,CALCULO DOS COMPLE
MENTOS
Categoria,Promoção: Pizza Grande  + Broto + Guaraná 1.5L - Com Entrega Grátis !!
Produto,Garanta Sua Pizza + 1 Broto + Guaraná !!,"Pizza + Um Brotinho a Sua Escolha + Guaraná 1,5L !!"," R$ 69,90",https://clie
nt-assets.anota.ai/produtos/647b606752f72300121a3d4c/648e1dc76e300a001cb43670/648e1dc76e300a001cb43671-1691103536428blob_600   
Complemento,Borda GRANDE 35cm (8 Fatias),,,,,,Escolha até 1 item,,
Opção," Sem Borda !! ",,0,,,,,,Máximo 1
Opção," Borda Borda de Catupiry ",,0,,,,,,Máximo 1
Opção," Borda Borda de Cheddar ",,0,,,,,,Máximo 1
Opção," Borda Borda de Mussarela ",,0,,,,,,Máximo 1
Produto,GIGANTE 40cm (12 Fatias),Pizza com até 3 sabores e 12 fatias,,https://client-assets.anota.ai/produtos/647b606752f723001
21a3d4c/647d3d0ce62e61002796a7d8/64d5495de2bd04001c6d7547-1694993173530blob
Complemento,Sabor GIGANTE 40cm (12 Fatias),,,,,,Escolha de 1 até 3 itens,,
Opção," Pizza Mussarela ",," R$ 69,99",,,,,,
Opção," Pizza 4 Queijos ",,0,,,,,,
Opção," Pizza 5 Queijos ",,0,,,,,,
Opção," Pizza Brócolis ",,0,,,,,,
Opção," Pizza Pomodoro ",,0,,,,,,
Opção," Pizza de Lombo Canadense ",,0,,,,,,
Opção," Pizza Especial ",,0,,,,,,
Opção," Pizza Radical ",,0,,,,,,
Opção," Pizza Mineira ",,0,,,,,,
Opção," Pizza Smart da Casa ",,0,,,,,,
Opção," Pizza Do Cliente ",,0,,,,,,
Opção," Pizza Delicia ",,0,,,,,,
Opção," Pizza De Carne Seca ",,0,,,,,,
Opção," Pizza De Peperoni ",,0,,,,,,
Opção," Pizza  De Atum  ",,0,,,,,,
Opção," Pizza Mexicana ",,0,,,,,,
Opção," Pizza Caribe ",,0,,,,,,
Opção," Pizza 2 Queijo ",,0,,,,,,
Opção," Pizza 3 Queijo ",,0,,,,,,
Opção," Pizza Portuguesa ",,0,,,,,,
Opção," Pizza de Frango Com Catupiry. ",,0,,,,,,
Opção," Pizza Bacon ",,0,,,,,,
Opção," Pizza Fofoca ",,0,,,,,,
Opção," Pizza Da Roça ",,0,,,,,,
Opção," Pizza Toscana ",,0,,,,,,
Opção," Pizza Bauru ",,0,,,,,,
Opção," Pizza Calabresa ",,0,,,,,,
Opção," Pizza Baiana ",,0,,,,,,
Opção," Pizza Tomate Seco ",,0,,,,,,
Opção," Pizza Palmito ",,0,,,,,,
Opção," Pizza Milho ",,0,,,,,,
Opção," Pizza Champignon ",,0,,,,,,
Opção," Pizza Catupiry ",,0,,,,,,
Opção," Pizza Alho Frito ",,0,,,,,,
Opção," Pizza Marguerita  ",,0,,,,,,
Opção," Pizza de Rúcula  ",,0,,,,,,
Opção," Pizza Napolitana ",,0,,,,,,
Opção," Pizza de Calabresa Paulista ",,0,,,,,,
Opção," Pizza Mineira ",,0,,,,,,
Opção," Duvidosa ",,0,,,,,,
Opção," Brócolis ",,0,,,,,,
Complemento,Borda GIGANTE 40cm (12 Fatias),,,,,,Escolha até 1 item,,
Opção," Sem Borda !! ",,0,,,,,,Máximo 1
Opção," Borda Borda de Catupiry ",,0,,,,,,Máximo 1
Opção," Borda Borda de Cheddar ",,0,,,,,,Máximo 1
Opção," Borda Borda de Mussarela ",,0,,,,,,Máximo 1
Categoria,"Duas Pizzas Grande Por R$99,90 - Com Entrega Grátis !!"
Produto,"Duas Pizzas Por R$99,00",Pizza tamanho grande 35cm (8 Fatias)," R$ 99,90",https://client-assets.anota.ai/produtos/647b
606752f72300121a3d4c/64950ffa42a89e001c2ae884/64951069abc4d8001c26be10blob_600
Complemento,Escolha a primeira pizza - até 2 sabores,,,,,,Escolha de 1 até 2 itens,,
Opção," Pizza Mussarela ",,0,,,,,,
Opção," Pizza 2 Queijos ",,0,,,,,,
Opção," Pizza 3 Queijos ",,0,,,,,,
Opção," Pizza Portuguesa ",,0,,,,,,
Opção," Pizza de Frango Com Catupiry ",,0,,,,,,
Opção," Pizza Bacon ",,0,,,,,,
Opção," Pizza Fofoca ",,0,,,,,,
Opção," Pizza da Roça ",,0,,,,,,
Opção," Pizza Toscana ",,0,,,,,,
Opção," Pizza Bauru ",,0,,,,,,
Opção," Pizza Calabresa ",,0,,,,,,
Opção," Pizza Baiana ",,0,,,,,,
Opção," Pizza Tomate Seco ",,0,,,,,,
Opção," Pizza Palmito ",,0,,,,,,
Opção," Pizza Milho ",,0,,,,,,
Opção," Pizza de Champignon ",,0,,,,,,
Opção," Pizza Catupiry ",,0,,,,,,
Opção," Pizza Alho Frito ",,0,,,,,,
Opção," Pizza de Marguerita ",,0,,,,,,
Opção," Pizza de Rúcula ",,0,,,,,,
Opção," Pizza Napolitana ",,0,,,,,,
Opção," Pizza de Calabresa Paulista ",,0,,,,,,
Opção," Pizza Mineira ",,0,,,,,,
Complemento,Escolha a borda da primeira pizza,,,,,,Escolha até 1 item,,
Opção," Borda de Catupiry ",," R$ 9,99",,,,,,
Opção," Borda de Cheddar ",,0,,,,,,
Opção," Borda de Mussarela ",,0,,,,,,
Complemento,Escolha a segunda pizza - até 2 sabores,,,,,,Escolha de 1 até 2 itens,,
Opção," Pizza Mussarela ",,0,,,,,,
Opção," Pizza 2 Queijos ",,0,,,,,,
Opção," Pizza 3 Queijos ",,0,,,,,,
Opção," Pizza Portuguesa ",,0,,,,,,
Opção," Pizza de Frango Com Catupiry ",,0,,,,,,
Opção," Pizza Bacon ",,0,,,,,,
Opção," Pizza Fofoca ",,0,,,,,,
Opção," Pizza da Roça ",,0,,,,,,
Opção," Pizza Toscana ",,0,,,,,,
Opção," Pizza Bauru ",,0,,,,,,
Opção," Pizza Calabresa ",,0,,,,,,
Opção," Pizza Baiana ",,0,,,,,,
Opção," Pizza Tomate Seco ",,0,,,,,,
Opção," Pizza Palmito ",,0,,,,,,
Opção," Pizza Milho ",,0,,,,,,
Opção," Pizza de Champignon ",,0,,,,,,
Opção," Pizza Catupiry ",,0,,,,,,
Opção," Pizza Alho Frito ",,0,,,,,,
Opção," Pizza de Marguerita ",,0,,,,,,
Opção," Pizza de Rúcula ",,0,,,,,,
Opção," Pizza Napolitana ",,0,,,,,,
Opção," Pizza de Calabresa Paulista ",,0,,,,,,
Opção," Pizza Mineira ",,0,,,,,,
Complemento,Escolha a borda da segunda pizza,,,,,,Escolha até 1 item,,
